# 05 Feb 2010 02:36:03 PM Photodiode thickness: 500 micron; gain: 0.1; Beam size: 0.2 , 0.2 mm; Spear current: 195.1910158
# Energy(keV) Flux(ph/s) Current(mA) i2 shutter closed(V) i2 shutter open(V)
6.000  2.187e+11 0.0580777    2.04     2.04
6.900  3.132e+11 0.0956244    1.93     1.91
7.800  3.841e+11 0.1325425    1.62     1.60
8.700  4.297e+11 0.1649917    1.27     1.26
9.600  4.559e+11 0.191396    1.01     0.97
10.500  4.691e+11 0.2109111    0.87     0.74
11.400  4.694e+11 0.2208666    0.68     0.56
12.300  4.563e+11 0.2197154    0.67     0.43
13.200  4.280e+11 0.2068069    0.56     0.33
14.100  3.807e+11 0.1816121    0.44     0.24
15.000  2.574e+11 0.1197205    0.27     0.14
 
#The flux was measured through this aperture (hor, ver in mm)
flux_aperture 0.2 0.2
